               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,            0.043298,            0.018226,                   0,             0.60019,                 0.5,              0.5375,             0.27661,            0.033148,           0.0095818,                   0,           0.0054212,           0.0054212,           0.0054212
                  39,            0.038421,            0.016478,                   0,             0.87114,                 0.5,             0.57364,             0.30733,            0.034584,           0.0096748,                   0,           0.0052975,           0.0052975,           0.0052975
                  40,            0.038734,            0.017595,                   0,             0.87114,                 0.5,             0.57364,             0.30733,            0.034584,           0.0096748,                   0,           0.0051737,           0.0051737,           0.0051737
                  41,             0.04571,            0.018895,                   0,             0.91437,                 0.5,             0.57218,             0.30597,            0.035442,           0.0097446,                   0,             0.00505,             0.00505,             0.00505
                  42,            0.043838,            0.018207,                   0,               0.851,                 0.5,             0.55542,              0.3423,            0.031834,           0.0099514,                   0,           0.0049263,           0.0049263,           0.0049263
                  43,            0.038352,            0.018626,                   0,               0.851,                 0.5,             0.55542,              0.3423,            0.031834,           0.0099514,                   0,           0.0048025,           0.0048025,           0.0048025
                  44,            0.042102,            0.019428,                   0,             0.87071,                 0.5,              0.5703,               0.339,            0.031367,            0.010107,                   0,           0.0046788,           0.0046788,           0.0046788
                  45,            0.041282,            0.017337,                   0,             0.87071,                 0.5,              0.5703,               0.339,            0.031367,            0.010107,                   0,            0.004555,            0.004555,            0.004555
                  46,            0.039652,            0.018231,                   0,             0.97537,                 0.5,             0.56918,             0.32699,             0.02901,           0.0098119,                   0,           0.0044313,           0.0044313,           0.0044313
                  47,            0.039454,            0.018481,                   0,             0.85036,                 0.5,             0.56257,              0.2471,            0.035328,            0.009313,                   0,           0.0043075,           0.0043075,           0.0043075
                  48,            0.045946,            0.018691,                   0,             0.85036,                 0.5,             0.56257,              0.2471,            0.035328,            0.009313,                   0,           0.0041837,           0.0041837,           0.0041837
                  49,            0.039982,            0.018412,                   0,             0.93406,                 0.5,             0.58541,             0.35801,            0.031604,           0.0095553,                   0,             0.00406,             0.00406,             0.00406
                  50,            0.041172,            0.018346,                   0,             0.93406,                 0.5,             0.58541,             0.35801,            0.031604,           0.0095553,                   0,           0.0039362,           0.0039362,           0.0039362
                  51,            0.037332,            0.017934,                   0,             0.94787,                 0.5,             0.60763,             0.37872,            0.030694,           0.0092981,                   0,           0.0038125,           0.0038125,           0.0038125
                  52,            0.042584,            0.019937,                   0,             0.93601,                 0.5,             0.61501,             0.35416,            0.030951,           0.0089188,                   0,           0.0036888,           0.0036888,           0.0036888
                  53,            0.038326,            0.015955,                   0,             0.93601,                 0.5,             0.61501,             0.35416,            0.030951,           0.0089188,                   0,            0.003565,            0.003565,            0.003565
                  54,            0.029659,            0.017561,                   0,             0.96626,                 0.5,             0.61804,              0.4783,            0.028306,           0.0090529,                   0,           0.0034413,           0.0034413,           0.0034413
                  55,            0.029938,             0.01931,                   0,             0.96626,                 0.5,             0.61804,              0.4783,            0.028306,           0.0090529,                   0,           0.0033175,           0.0033175,           0.0033175
